Date,Time,Latitude,Longitude,Remark,MSLP,Wind,,
08.01.2010,12,8030N,1630E,"Small, N of Spitsbergen, conv.",,30,,
29.01.2010,18,68N,08E,In SE off Scandinavian mainland,,45,,
30.01.2010,18,62N,04E,,977,36,,
02.02.2010,16,61N,02E,"Convective, marginal",990,35,,
16.02.2010,9,71N,04E,No observations,,,,
23.02.2010,18,67N,17W,,1011,55,,
02.03.2010,8,6330N,04E,"Small, dual, U~20, B, Neutral, Florø",1005,39,,
04.03.2010,18,73N,42E,Small,1000,40,,
10.03.2010,16,76N,41E,,985,35,,
12.03.2010,12,72N,19E,Multiple,991,35,,
14.03.2010,12,73N,16E,Widespread conv.,996,37G54,,
19.03.2010,12,7430N,18E,Dual,994,35,,
21.03.2010,3,67N,12E,"Short lifespan, Neutral, U~20",995,39,,
24.03.2010,18,72N,18E,"Comma, later PL",1012,,,
26.03.2010,18,73N,2130E,"Baroclinic, reversed, U~20",1005,35,,
23.04.2010,9,71N,02E,"Baroclinic, reversed, marginal",1005,35,,
31.05.2010,18,7030N,1930E,"One fatality, baroclinic, neutral",1008,40,,
,,,,,,,,
11.10.2010,10,73N,14E,"Baroclinic, season start!",,41,,
19.10.2010,6,73N,06E,"Convergence, reversed, single.",,,,
07.11.2010,12,7140N,1515E,"Small, baroclinic, weakly reversed, single, but troughlike",987,37,,
09.11.2010,9,73N,23E,"Single, baroclinic",1000,45,,
21.11.2010,13,7630N,22E,"Baroclinic, almost synopic",,,,
25.11.2010,2,71N,0430E,Baroclinic ? Tip of occ. Later multiple.,1008,,,
04.12.2010,12,70N,00E,"Multiple, Baroclinic",980,,,
09.12.2010,14,70N,13E,Single,1000,39G47,,
21.12.2010,3,73N,02W,"Convergence, baroclinic",1005,40G53,,
13.01.2011,15,71N,01W,"Single, weakly reversed, poor models",1008,,,
29.01.2011,2,71N,01W,"Single, baroclinic, reversed",988,,,
30.01.2011,0,7430N,30E,"Single, baroclinic, reversed, Hirlam 8 OK",975,,,
06.02.2011,17,64N,12W,"Multiple, baroclinic",975,41,,
10.02.2011,17,7130N,2730E,"Dual, baroclinic",1000,41,,
11.03.2011,6,68N,0030W,"Baroclinic, from a synoptic",975,47,,
12.03.2011,1,64N,04E,Convective low,985,45,,
13.03.2011,8,6530N,0430E,"Single, baroclinic, reversed",1002,39,,
20.03.2011,10,74N,05W,"Single, mainly convective, direct shear",985,35,,
22.03.2011,12,7330N,2330E,"Baroclinic, single, reversed, most beautiful",985,45G66,,
22.03.2011,3,69N,16W,"Multiple, baroclinic, reversed shear, leelow",981,60G82,,
24.03.2011,8,72N,19E,Multiple,989,43G58,,
30.03.2011,0,71N,33E,"Single, marginal",1000,,,
31.03.2011,6,71N,33E,"Baroclinic, direct shear",1000,,,
26.11.2011,22,7030N,01E,"Baroclinic / convective low, reversed shear",973,57G72,,
05.12.2011,3,66N,10W,"Baroclinic, reversed shear, N of CC",975,50G68,,
27.12.2011,12,7130N,07E,,968,41G60,,
06.02.2012,1,7030N,37E,The opposite low,1028,,,
,,,,,,,,
22.02.2012,3,7330N,2130E,"Small, marginal",975,,,
10.03.2012,6,6530N,0430E,"Comma, direct shear",985,45G60,,
18.03.2012,12,6930N,0930W,"Baroclinic, multiple, reversed shear",985,45G56,,put date to middle day
29.03.2012,6,71N,3330E,Small,990,35,,
04.04.2012,0,75N,23E,"Convective low, (Eik/AkerBarents), reversed shear",,,,
14.04.2012,18,7230N,28E,"Small, short lived",1008,37,,
24.10.2012,13,7330N,24E,"Baroclinic, reversed, first tracked case. Multiple.",991,50,,
24.12.2012,6,74N,32E,Dual,989,,,
22.01.2013,0,76N,4130E,Due west of large synoptic,990,,,
01.02.2013,3,6730N,09E,"Small, marginal",977,40,,
23.02.2013,20,7530N,01W,Synoptic/PL,,,,
03.03.2013,23,74N,39E,,,,,
04.03.2013,3,72N,19E,Multiple,998,50,,
04.03.2013,4,75N,08E,,,,,
05.03.2013,12,75N,07E,,1012,,,
06.03.2013,5,73N,2230E,Multiple,996,45,,
07.03.2013,9,70N,34E,Multiple,1000,35,,
11.03.2013,6,7030N,4430E,Dual,,,,
15.03.2013,0,74N,47E,,,,,
18.03.2013,5,73N,20E,Development from synoptic center,1013,50,,
19.03.2013,6,72N,04E,Jan Mayen,,,,
26.03.2013,11,73N,06E,Multiple,1013,,,
27.03.2013,0,72N,11E,Multiple,1005,,,
30.03.2013,12,73N,13E,Multiple,,,,
01.04.2013,1,7230N,04W,"Multiple, traversing centre",999,,,
03.04.2013,4,74N,17E,"Convergence, similar to Thorpex",1010,43,,
05.04.2013,14,6330N,01E,,1004,35G56,,
,,,,,,,,
07.04.2013,10,7130N,1930E,Small Dual,1004,34G40,,
08.04.2013,0,72N,38E,"Multiple, complex",1000,,,
26.10.2013,0,7530N,40E,,983,45,,
20.11.2013,12,7230N,4030E,"Dual, poor models",985,,,Removed ? from pressure
20.11.2013,16,72N,19E,"Synoptic → polar low, dual",984,52G63,,
24.11.2013,0,73N,17E,Synoptic → meso sirk. → polar low,977,41G52(60),,
30.11.2013,1,72N,37E,"PL/Convective Low, multiple",968,40,,
08.12.2013,9,75N,4530E,,986,45,,
24.03.2014,14,73N,13E,Dual,991,65,,
14.04.2014,9,7330N,1330E,PL → Instant occlusion,990,,,
13.05.2014,18,7630N,25E,,975,,,
20.11.2014,11,72N,11E,No 200,985,44,,
24.12.2014,17,74N,16E,"Multiple, complex, PL/convective low, lasting through 28th",989,49,,
29.01.2015,10,73N,45E,Dual,NA,,,
31.01.2015,3,7630N,3930E,"Reversed shear, moving NW, Cirrus waves",NA,,,
01.02.2015,10,76N,33E,,1015,28G32,,
10.02.2015,3,7230N,15E,"Complex, multiple",980,40,,
11.02.2015,3,72N,05E,"PL/Convective low, complex multiple",NA,,,
12.02.2015,13,69N,03E,PL/Comma,980,43G52,,
14.02.2015,3,7130N,34E,,NA,,,
19.03.2015,9,7230N,12E,Reversed,1000,50,,
23.03.2015,4,7630N,01E,Stratus in center. Convergence?,NA,,,
26.10.2015,17,7140N,1515E,"Seasons first, barotropic",1003,50G66,,
,,,,,,,,removed empty case
13.12.2015,1,7330N,28E,"Multiple, direct",NA,NA,,
13.12.2015,17,7230N,2830E,Multiple,NA,NA,,
13.12.2015,20,7030N,1730E,Multiple,991,45G53,,
,,,,,,,,
26.12.2015,12,7230N,25E,,977,59G71,,
11.04.2016,6,7430N,4130E,"Small, baroclinic",NA,NA,,
